행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
전라남도,무안군,33.397541169532275,34.58881118881119,36.10492963222144,37.50796303243188,39.03812374592941,42.22924
전라남도,보성군,28.81597512854239,29.95708257986739,30.17203924316749,30.6076771425258,32.14649757022639,33.88513
전라남도,순천시,35.5248490097851,37.1470067264574,38.02421077363408,38.76415015901391,40.39039893888378,42.433964
전라남도,신안군,30.63688290493676,31.486342438374415,32.63120950323974,33.802803861923024,34.197266860685815,35.593124
전라남도,여수시,38.95343583764483,40.47150320030121,40.37922877800589,40.977807607248565,42.43337172350545,42.85198
전라남도,영광군,33.096587803544935,34.38869151107416,34.50845627923714,35.62521282633371,37.064278332759216,38.570633
전라남도,영암군,27.329584618175225,28.246550828378457,29.374338915821948,30.215078220348385,31.409487935364123,33.1559
전라남도,완도군,28.80072309655466,29.89973179286156,31.14522572912505,31.233907258853453,32.02439969016267,33.616264
전라남도,장성군,30.71311475409836,31.928576827148365,32.74619900647298,33.69501239157373,34.77709830301177,36.90308
전라남도,장흥군,29.21035637407319,30.78511038046031,31.98873900293255,32.423348374407034,33.115686274509805,35.276062
전라남도,진도군,29.88972064999087,30.801766784452298,31.165202702702704,32.211812297734625,32.92813335430099,34.216938
전라남도,함평군,29.37330468645092,30.633333333333333,30.992198673774546,31.28920676202861,32.03567303990761,33.147457
전라남도,해남군,27.49339299447668,29.069865088105725,29.46958336050075,29.994805694497884,31.536011440457617,33.164192
전라남도,화순군,28.31629926519706,29.494194766957392,29.98577668868528,31.02864233274739,32.30329491800782,34.699524
대구광역시,남구,26.196682350681776,27.40161998772021,28.22628023333564,28.78475917587665,30.06862287429143,32.0475
대구광역시,달서구,32.58196501644042,33.793457617332905,34.60963236361997,34.8882703656385,36.2369547138429,37.764084
대구광역시,달성군,30.830787178490084,32.31531119802738,33.21781004134916,33.28708003828137,34.83593179530698,36.61632
대구광역시,동구,29.928912404254547,31.283100281095017,32.35312949227879,32.740296664695855,34.01057161958884,36.221607
대구광역시,북구,29.77957672775292,31.01674395699101,32.013261224869446,32.35930416932582,33.397942951356015,34.699905
대구광역시,서구,23.810586918856483,25.100182794896664,25.97554183085784,26.1074832573037,27.40218300679028,29.2341
대구광역시,수성구,43.54607051199552,45.19104151005188,46.32492669048468,47.22203952113082,48.81830057974904,50.78193
대구광역시,중구,32.02312919427679,33.96319069380972,34.79812770043207,36.07263601686408,37.96234220098424,41.267212
경상북도,경산시,28.87921892584901,29.973175929371173,31.00408708811541,31.190218423551755,32.26872201028363,33.466328
경상북도,경주시,33.71568122777824,34.70879101389299,35.54821973193732,35.947030182757985,37.290593678603,39.29602
경상북도,고령군,27.30313776058457,28.1323073634712,29.31656576774904,30.154064486830155,31.018402103097497,32.704647
경상북도,구미시,36.19036121243423,37.648609291737145,38.039402658247184,39.067493944807154,41.303031633895074,43.394043
경상북도,군위군,30.07492098903142,31.28185185185185,31.75593220338983,32.40786637931034,33.87452667814114,35.64263
경상북도,김천시,33.53623223089073,34.71413960623882,35.28903060054136,35.754517766497464,36.859970094115575,38.672714
경상북도,문경시,29.370296236989592,30.35367126146411,30.451473910987332,31.017823687275307,32.45899417787593,33.92111
경상북도,봉화군,29.45744848198836,30.534102992556583,31.5154449054864,31.833613445378152,32.819972514887766,34.47309
경상북도,상주시,29.243684794672586,30.434575427148623,30.98054654932839,31.47516062654852,32.45817363772704,34.019844
경상북도,성주군,25.87677512133741,27.18182636077373,27.84138972809668,29.42817475009256,32.34324586977648,35.26074
